participant_id,consent,trial0_elapsed_time,trial0_windex,w0_completion_time,w0_chef1,w0_chef2,sentChefHome,finalScore,trial1_elapsed_time,trial1_windex,w1_completion_time,w1_chef1,w1_chef2,optimal_time,round_score,trial2_elapsed_time,trial2_windex,w2_completion_time,w2_chef1,w2_chef2,trial3_elapsed_time,trial3_windex,w3_completion_time,w3_chef1,w3_chef2,trial4_elapsed_time,trial4_windex,w5_completion_time,w5_chef1,w5_chef2,trial5_elapsed_time,trial5_windex,w8_completion_time,w8_chef1,w8_chef2,trial6_elapsed_time,trial6_windex,w10_completion_time,w10_chef1,w10_chef2,trial7_elapsed_time,trial7_windex,w9_completion_time,w9_chef1,w9_chef2,trial8_elapsed_time,trial8_windex,w4_completion_time,w4_chef1,w4_chef2,trial9_elapsed_time,trial9_windex,w6_completion_time,w6_chef1,w6_chef2,trial10_elapsed_time,trial10_windex,w7_completion_time,w7_chef1,w7_chef2,language,enjoyment,assess,age,gender_cat,education
P011,true,308.744,0,206,"[2, 4, 6, 9]","[1, 3, 7, 5, 8, 10]",false,100,48.104,9,195,"[2, 5, 8, 4, 10]","[1, 7, 9, 3, 6]",201,0.5,45.967,6,196,"[2, 5, 7, 10]","[1, 4, 6, 8, 9, 3]",41.218,4,201,"[4, 5, 2, 8]","[1, 7, 9, 3, 6, 10]",35.216,8,187,"[4, 5, 9]","[1, 2, 6, 7, 8, 3, 10]",35.406,7,193,"[2, 4, 5, 7, 10]","[3, 9, 1, 6, 8]",32.392,2,208,"[2, 4, 3, 8, 10, 6, 9]","[1, 5, 7]",28.721,1,234,"[5, 8, 2, 10, 6, 9]","[1, 3, 4, 7]",34.325,10,198,"[3, 4, 6, 8]","[1, 2, 5, 7, 9, 10]",31.777,5,208,"[2, 4, 6, 3, 7, 9]","[1, 5, 8, 10]",32.0,3,219,"[1, 2, 8]","[3, 5, 6, 7, 9, 4, 10]",,better,y,40,m,some-college
P012,true,182.016,0,206,"[2, 4, 5, 8]","[3, 1, 7, 10, 6, 9]",false,100,43.387,8,195,"[2, 4, 3, 10, 6]","[7, 9, 1, 5, 8]",200,0.5,38.033,3,196,"[2, 5, 10, 7]","[1, 6, 4, 9, 8, 3]",41.718,10,201,"[3, 4, 5, 8]","[1, 7, 9, 2, 6, 10]",38.63,6,187,"[9, 10, 4]","[6, 8, 7, 2, 1, 5, 3]",39.114,4,193,"[1, 2, 8, 5, 7]","[3, 9, 10, 4, 6]",37.721,9,208,"[2, 4, 3, 8, 10, 5, 9]","[1, 6, 7]",33.17,2,234,"[10, 5, 8, 6, 3, 2]","[9, 7, 4, 1]",33.064,1,222,"[3, 4, 6, 2, 7]","[10, 5, 1, 9, 8]",43.664,5,208,"[2, 4, 6, 3, 7, 9]","[1, 5, 8, 10]",45.672,7,200,"[10, 2, 7, 4]","[9, 5, 3, 6, 8, 1]",English,better,y,41,nb,grad
P013,true,175.155,0,206,"[4, 5, 6, 2]","[10, 1, 7, 3, 8, 9]",false,50,41.52,9,195,"[6, 8, 4, 10, 2]","[9, 7, 1, 5, 3]",196,0.4285714285714286,35.167,3,210,"[6, 7, 2, 9]","[10, 5, 3, 8, 4, 1]",33.179,4,201,"[4, 10, 8, 3]","[7, 9, 1, 2, 6, 5]",29.286,10,187,"[5, 4, 9]","[8, 6, 7, 3, 1, 2, 10]",32.365,1,266,"[7, 8, 2, 1, 4, 5, 10]","[3, 9, 6]",37.461,6,208,"[10, 4, 3, 2, 8, 6, 9]","[5, 7, 1]",43.627,5,234,"[8, 10, 5, 7, 4, 2]","[1, 9, 6, 3]",46.063,8,198,"[6, 3, 4, 7]","[5, 8, 9, 10, 2, 1]",43.48,7,232,"[5, 6, 3, 8]","[10, 4, 7, 2, 1, 9]",37.896,2,213,"[4, 9, 5, 3, 10]","[6, 7, 2, 8, 1]",,better,y,50,f,high
P014,true,166.811,0,206,"[4, 5, 6, 2]","[10, 7, 3, 1, 8, 9]",false,100,33.29,9,195,"[10, 8, 5, 6, 2]","[1, 7, 9, 4, 3]",187,0.5,26.327,8,196,"[5, 7, 3, 10]","[6, 4, 8, 9, 1, 2]",29.763,6,201,"[5, 2, 3, 4]","[7, 9, 6, 1, 8, 10]",27.687,3,187,"[5, 3, 9]","[6, 8, 7, 1, 2, 4, 10]",26.346,4,193,"[10, 5, 7, 8, 1]","[3, 6, 9, 2, 4]",35.194,7,208,"[4, 3, 2, 8, 10, 7, 9]","[5, 6, 1]",23.724,1,213,"[5, 8, 4, 3, 9]","[6, 10, 7, 2, 1]",24.214,2,222,"[4, 6, 3, 2, 1]","[10, 5, 7, 8, 9]",27.339,10,208,"[4, 6, 7, 2, 3, 9]","[10, 5, 8, 1]",27.595,5,219,"[4, 8, 1]","[5, 6, 7, 9, 3, 2, 10]",Spanish,average,y,24,m,college
P015,true,93.3,0,206,"[2, 4, 9, 6]","[3, 7, 8, 10, 5, 1]",false,100,29.904,4,208,"[2, 6, 7, 10, 3]","[9, 1, 8, 5, 4]",213,0.5,44.676,10,201,"[10, 7, 8, 2]","[6, 5, 9, 4, 3, 1]",32.281,5,201,"[4, 8, 3, 10]","[9, 7, 1, 5, 6, 2]",33.612,7,187,"[10, 4, 5]","[2, 6, 7, 3, 8, 1, 9]",32.474,1,203,"[3, 6, 4, 8, 7, 1]","[9, 10, 2, 5]",34.693,6,208,"[10, 2, 6, 4, 3, 8, 9]","[1, 7, 5]",30.506,8,213,"[10, 8, 4, 3, 1]","[5, 6, 7, 2, 9]",35.331,2,198,"[4, 3, 6, 9]","[5, 10, 7, 8, 2, 1]",30.992,3,220,"[4, 2, 5, 9, 10]","[6, 8, 7, 3, 1]",31.967,9,200,"[3, 8, 10, 1]","[5, 6, 7, 9, 4, 2]",English,average,y,24,f,college
P016,true,149.306,0,206,"[9, 5, 2, 4]","[10, 7, 3, 1, 8, 6]",false,100,41.945,10,195,"[4, 5, 3, 2, 10]","[9, 7, 1, 6, 8]",201,0.5,32.111,8,222,"[4, 9, 8, 10]","[6, 7, 2, 3, 1, 5]",33.182,7,201,"[4, 3, 8, 6]","[9, 7, 1, 5, 2, 10]",33.755,5,218,"[9, 3, 1, 8]","[4, 5, 10, 2, 7, 6]",36.611,2,203,"[9, 2, 4, 6, 8, 10]","[3, 1, 5, 7]",30.172,1,217,"[3, 2, 6, 10, 7]","[4, 8, 1, 5, 9]",47.636,6,234,"[8, 9, 3, 1]","[10, 5, 7, 4, 2, 6]",36.52,9,209,"[3, 5, 4, 1]","[6, 7, 8, 2, 9, 10]",42.518,4,232,"[2, 5, 7, 8]","[4, 6, 3, 1, 9, 10]",40.482,3,232,"[9, 7, 2, 1, 8]","[3, 5, 6, 10, 4]",English,better,y,33,f,some-college
P017,true,128.504,0,206,"[6, 2, 4, 8]","[10, 7, 3, 1, 5, 9]",false,100,36.727,4,195,"[2, 6, 3, 5, 10]","[1, 7, 9, 4, 8]",201,0.5,40.72,9,201,"[10, 2, 3, 9]","[6, 4, 1, 8, 7, 5]",42.531,10,201,"[6, 2, 3, 5]","[9, 1, 7, 8, 4, 10]",43.185,2,187,"[10, 3, 5]","[6, 7, 2, 4, 8, 1, 9]",39.686,1,193,"[10, 4, 5, 6, 8]","[3, 2, 1, 7, 9]",42.634,8,217,"[10, 4, 2, 6, 7]","[5, 1, 3, 8, 9]",41.79,5,234,"[5, 8, 10, 3, 1, 9]","[4, 2, 6, 7]",43.128,7,198,"[3, 4, 6, 9]","[7, 5, 2, 10, 1, 8]",32.172,6,208,"[6, 2, 4, 5, 3, 8]","[10, 1, 7, 9]",43.196,3,200,"[10, 4, 3, 1]","[5, 6, 7, 2, 9, 8]",French Russian,better,y,42,m,grad
P018,true,233.678,0,206,"[2, 4, 5, 8]","[7, 1, 3, 10, 6, 9]",false,100,63.369,8,195,"[2, 3, 4, 6, 10]","[1, 7, 9, 5, 8]",201,0.5,57.437,2,196,"[2, 3, 5, 10]","[1, 4, 6, 8, 9, 7]",56.569,7,201,"[2, 4, 5, 8]","[1, 7, 9, 3, 6, 10]",74.973,4,187,"[3, 4, 9]","[2, 1, 6, 7, 8, 5, 10]",59.811,9,193,"[1, 4, 5, 7, 10]","[3, 9, 2, 6, 8]",61.674,10,208,"[2, 3, 4, 8, 10, 5, 9]","[1, 6, 7]",53.537,5,240,"[5, 8, 10, 3, 6]","[1, 2, 4, 7, 9]",44.225,1,198,"[3, 4, 6, 2]","[1, 5, 7, 8, 9, 10]",79.204,6,224,"[1, 5, 8, 10]","[2, 4, 6, 3, 7, 9]",40.937,3,219,"[1, 2, 8]","[5, 3, 6, 7, 9, 4, 10]",English,better,y,44,f,college
P019,true,163.39,0,206,"[2, 5, 6, 4]","[1, 3, 7, 10, 8, 9]",false,100,39.557,7,195,"[2, 3, 5, 4, 10]","[1, 7, 9, 6, 8]",196,0.5,31.283,1,196,"[5, 7, 3, 2]","[4, 1, 6, 9, 8, 10]",33.622,9,201,"[8, 3, 4, 2]","[9, 7, 1, 5, 6, 10]",30.332,10,187,"[5, 4, 9]","[2, 1, 8, 7, 6, 10, 3]",26.067,5,266,"[2, 4, 5, 6, 1, 7, 8]","[3, 9, 10]",30.959,4,208,"[4, 3, 2, 10, 8, 5, 1]","[6, 7, 9]",28.131,3,213,"[8, 5, 9, 6, 7]","[2, 10, 4, 3, 1]",32.864,8,198,"[6, 4, 3, 8]","[2, 5, 7, 9, 1, 10]",31.449,6,232,"[7, 2, 5, 8]","[6, 4, 3, 9, 10, 1]",26.837,2,200,"[5, 2, 8, 4]","[3, 7, 9, 6, 1, 10]",English,average,y,37,f,some-college
P020,true,470.473,0,219,"[1, 5, 8, 2]","[10, 4, 3, 7, 6, 9]",false,100,35.445,6,195,"[3, 8, 6, 10, 2]","[1, 7, 9, 5, 4]",193,0.5,33.384,2,196,"[5, 7, 2, 3]","[4, 6, 8, 9, 1, 10]",30.674,7,201,"[6, 8, 4, 3]","[1, 7, 9, 5, 10, 2]",28.88,10,187,"[5, 3, 4]","[6, 7, 8, 2, 1, 10, 9]",59.773,5,193,"[10, 2, 4, 1, 7]","[3, 9, 8, 5, 6]",33.667,1,208,"[10, 4, 3, 2, 8, 1, 9]","[5, 6, 7]",31.975,4,234,"[10, 5, 8, 7, 6, 1]","[3, 4, 2, 9]",27.289,3,198,"[6, 4, 3, 9]","[2, 8, 5, 7, 10, 1]",32.99,9,232,"[4, 7, 9, 3]","[2, 6, 8, 5, 10, 1]",36.285,8,219,"[4, 2, 1]","[5, 7, 9, 6, 3, 8, 10]",English,better,y,39,m,some-college
P021,true,186.92,0,206,"[2, 4, 9, 6]","[1, 3, 7, 5, 10, 8]",false,86,29.047,3,195,"[2, 6, 4, 3, 8]","[1, 7, 9, 10, 5]",200,0.405,33.946,5,196,"[5, 7, 3, 2]","[4, 1, 6, 9, 8, 10]",37.336,2,201,"[10, 3, 4, 5]","[1, 7, 9, 2, 6, 8]",42.047,1,187,"[5, 4, 9]","[6, 7, 8, 1, 2, 10, 3]",32.495,10,193,"[10, 6, 1, 8, 2]","[3, 9, 4, 5, 7]",32.656,6,208,"[8, 3, 2, 4, 7, 10, 9]","[6, 5, 1]",44.128,8,234,"[5, 8, 10, 6, 2, 7]","[4, 3, 9, 1]",42.495,4,198,"[3, 4, 6, 8]","[7, 5, 2, 10, 9, 1]",45.426,9,208,"[4, 2, 6, 8, 9, 1]","[7, 3, 5, 10]",48.213,7,219,"[4, 2, 1]","[5, 3, 6, 7, 9, 8, 10]",,average,y,34,f,some-college
P022,true,275.884,0,245,"[10, 3, 5, 7]","[8, 9, 4, 2, 1, 6]",false,50,77.804,8,208,"[9, 8, 10, 2, 4]","[6, 7, 5, 3, 1]",196,0.4285714285714286,51.846,9,210,"[9, 7, 3, 1]","[6, 8, 10, 5, 2, 4]",65.876,7,235,"[9, 6, 8, 1, 2]","[10, 7, 4, 3, 5]",61.466,5,227,"[6, 9, 7, 2]","[10, 8, 5, 3, 4, 1]",48.833,6,203,"[10, 6, 5, 3, 2, 1]","[9, 7, 8, 4]",63.518,4,217,"[9, 8, 2, 1, 3]","[10, 7, 6, 4, 5]",48.838,1,234,"[9, 5, 6, 3]","[10, 7, 8, 2, 1, 4]",74.131,3,231,"[7, 10, 9, 2]","[6, 3, 4, 5, 8, 1]",58.863,10,220,"[9, 8, 4, 5, 2]","[10, 7, 6, 3, 1]",41.097,2,240,"[8, 7, 5, 9, 1, 3]","[10, 6, 4, 2]",,average,confused,39,m,high
P023,true,574.352,0,206,"[2, 4, 6, 8]","[9, 3, 1, 7, 10, 5]",false,80,66.252,9,195,"[2, 4, 3, 5, 10]","[7, 9, 1, 6, 8]",208,0.3846153846153846,70.34,10,196,"[7, 10, 2, 3]","[8, 9, 4, 6, 1, 5]",60.319,5,201,"[8, 3, 2, 5]","[1, 9, 7, 6, 4, 10]",42.247,1,187,"[3, 5, 9]","[1, 6, 7, 8, 2, 4, 10]",53.211,3,193,"[7, 2, 4, 1, 5]","[9, 3, 8, 10, 6]",56.502,8,208,"[2, 3, 4, 10, 7, 8, 6]","[5, 1, 9]",49.438,2,234,"[8, 1, 4, 6]","[5, 10, 3, 2, 7, 9]",50.375,7,198,"[3, 4, 6, 2]","[8, 10, 5, 9, 7, 1]",55.925,4,232,"[2, 10, 5, 1]","[4, 6, 7, 8, 3, 9]",49.966,6,219,"[8, 4, 1]","[3, 9, 6, 5, 7, 10, 2]",english,average,y,62,m,college
P024,true,238.26,0,232,"[1, 10, 2, 5]","[9, 8, 7, 3, 4, 6]",true,71,47.741,7,195,"[8, 10, 3, 2, 6]","[9, 7, 1, 4, 5]",193,0,29.12,10,196,"[3, 5, 2, 7]","[1, 4, 6, 8, 9, 10]",33.876,5,201,"[8, 2, 5, 6]","[7, 9, 1, 4, 3, 10]",30.168,4,187,"[3, 5, 4]","[8, 2, 1, 6, 7, 9, 10]",31.886,9,317,"[3, 10, 8, 1, 4, 2, 5, 6, 7]",[9],28.622,6,229,"[1, 7, 5]","[3, 4, 2, 8, 10, 9, 6]",34.377,3,234,"[8, 10, 5, 1, 2, 9]","[3, 4, 6, 7]",28.442,2,198,"[3, 4, 6, 8]","[2, 5, 7, 1, 9, 10]",30.045,1,208,"[2, 4, 6, 3, 5, 9]","[1, 7, 8, 10]",41.243,8,219,"[1, 8, 2]","[3, 9, 5, 6, 7, 4, 10]",Gaelic,better,y,43,m,college
P025,true,250.256,0,206,"[8, 2, 4, 5]","[7, 10, 3, 1, 9, 6]",false,100,40.278,5,195,"[10, 3, 4, 5, 2]","[9, 7, 1, 6, 8]",208,0.5,32.021,4,196,"[5, 7, 2, 10]","[3, 6, 4, 8, 9, 1]",41.373,2,201,"[10, 3, 6, 8]","[9, 7, 1, 4, 5, 2]",43.803,10,187,"[3, 9, 10]","[2, 6, 8, 7, 1, 5, 4]",31.545,3,193,"[4, 5, 6, 8, 1]","[9, 3, 10, 7, 2]",39.751,9,208,"[3, 4, 2, 8, 10, 6, 1]","[5, 9, 7]",32.764,1,234,"[10, 9, 3, 2]","[8, 7, 6, 5, 4, 1]",35.088,8,198,"[3, 4, 6, 10]","[5, 7, 8, 9, 1, 2]",30.02,7,208,"[4, 6, 2, 7, 9, 10]","[3, 8, 5, 1]",34.349,6,219,"[4, 8, 2]","[3, 9, 5, 7, 6, 10, 1]",Portuguese,average,y,46,f,grad
P026,true,420.621,0,206,"[2, 6, 9, 4]","[3, 1, 7, 5, 8, 10]",false,100,37.686,8,195,"[2, 5, 6, 4, 3]","[1, 7, 8, 10, 9]",195,0.5,42.979,7,196,"[10, 3, 2, 7]","[4, 5, 8, 6, 9, 1]",36.695,10,201,"[10, 3, 6, 2]","[5, 4, 9, 7, 1, 8]",49.154,3,187,"[5, 3, 9]","[6, 8, 4, 2, 7, 1, 10]",28.378,4,193,"[1, 2, 6, 7, 10]","[4, 5, 8, 9, 3]",46.029,6,213,"[1, 7, 8, 2, 9]","[6, 5, 3, 4, 10]",42.161,5,234,"[1, 3, 7, 10]","[4, 2, 6, 5, 8, 9]",33.749,2,198,"[6, 4, 3, 1]","[10, 5, 7, 9, 2, 8]",30.842,9,208,"[10, 7, 8, 4, 2, 6]","[5, 1, 3, 9]",32.762,1,232,"[1, 2, 3, 5, 8]","[4, 10, 6, 7, 9]",english,average,y,49,f,college
P027,true,278.052,0,219,"[1, 4, 5, 8]","[2, 3, 7, 10, 6, 9]",false,86,37.963,5,195,"[4, 2, 3, 6, 10]","[1, 7, 9, 5, 8]",200,0.405,30.106,6,196,"[3, 2, 5, 10]","[1, 4, 6, 8, 9, 7]",29.519,3,201,"[2, 4, 5, 8]","[1, 7, 9, 3, 6, 10]",30.747,9,187,"[3, 4, 9]","[1, 2, 6, 7, 8, 5, 10]",25.722,8,193,"[2, 4, 5, 7, 10]","[3, 9, 1, 6, 8]",28.545,10,217,"[2, 3, 4, 6, 7]","[1, 9, 8, 10, 5]",26.854,1,234,"[5, 2, 8, 6, 10, 9]","[1, 3, 4, 7]",24.994,4,198,"[3, 4, 6, 8]","[1, 2, 5, 7, 9, 10]",25.907,2,232,"[6, 1, 5, 8]","[4, 2, 3, 7, 9, 10]",24.462,7,219,"[4, 2, 8]","[3, 5, 6, 7, 9, 1, 10]",Spanish,better,y,37,f,some-college
