participant_id,consent,trial0_elapsed_time,trial0_windex,w0_completion_time,w0_chef1,w0_chef2,history,finalScore,trial1_elapsed_time,trial1_windex,w4_completion_time,w4_chef1,w4_chef2,optimal_time,round_score,trial2_elapsed_time,trial2_windex,w7_completion_time,w7_chef1,w7_chef2,trial3_elapsed_time,trial3_windex,w8_completion_time,w8_chef1,w8_chef2,trial4_elapsed_time,trial4_windex,w3_completion_time,w3_chef1,w3_chef2,trial5_elapsed_time,trial5_windex,w9_completion_time,w9_chef1,w9_chef2,trial6_elapsed_time,trial6_windex,w2_completion_time,w2_chef1,w2_chef2,trial7_elapsed_time,trial7_windex,w6_completion_time,w6_chef1,w6_chef2,trial8_elapsed_time,trial8_windex,w10_completion_time,w10_chef1,w10_chef2,trial9_elapsed_time,trial9_windex,w1_completion_time,w1_chef1,w1_chef2,trial10_elapsed_time,trial10_windex,w5_completion_time,w5_chef1,w5_chef2,language,enjoyment,assess,age,gender_cat,education
P011,true,984.752,0,206,"[9, 8, 5, 2]","[1, 7, 3, 4, 6, 10]",4 2 2 2 6 2 10 2 4 1 2 1 6 1 9 2 8 2 7 2 5 2 3 1 1 2,80,123.667,10,198,"[6, 4, 3, 2]","[10, 9, 8, 7, 5, 1]",208,0,98.213,8,224,"[4, 1, 2, 8]","[9, 7, 6, 3, 5, 10]",94.063,3,228,"[8, 7, 10, 4, 5, 1]","[9, 3, 6, 2]",93.612,5,264,"[8, 10, 4, 3, 2, 5]","[9, 7, 1, 6]",72.874,1,288,"[8, 5, 10, 1]","[9, 7, 6, 3, 4, 2]",65.238,2,196,"[5, 2, 3, 7]","[9, 8, 6, 4, 1, 10]",78.389,4,312,"[4, 2, 6, 3]","[10, 9, 8, 7, 5, 1]",62.463,7,285,"[8, 10, 3, 4, 2]","[9, 7, 6, 5, 1]",65.509,9,195,"[6, 8, 10, 3, 4]","[9, 7, 1, 2, 5]",92.882,6,200,"[3, 4, 5, 9]","[8, 7, 6, 2, 1, 10]",Spanish,better,y,50,m,college
P012,true,326.073,0,276,"[9, 4, 5, 6, 8, 2]","[7, 10, 3, 1]",10 2 7 2 4 2 6 2 9 2 5 1 2 1 3 1 1 2 10 1 8 2 9 1,89,51.449,1,231,"[6, 3, 4]","[9, 10, 8, 7, 5, 2, 1]",196,0.22448979591836737,51.18,10,219,"[4, 2, 1]","[5, 6, 7, 8, 9, 10, 3]",39.467,3,266,"[10, 8, 4, 2, 5, 1, 6]","[9, 3, 7]",52.391,9,201,"[4, 2, 6, 8]","[7, 9, 1, 10, 5, 3]",58.219,6,234,"[8, 2, 3, 1]","[10, 5, 9, 7, 4, 6]",46.049,7,250,"[5, 2, 3, 10, 9]","[7, 4, 6, 1, 8]",44.497,5,237,"[2, 5, 3, 1, 9]","[4, 6, 7, 8, 10]",38.736,4,231,"[8, 2, 4, 6, 1, 5]","[10, 3, 7, 9]",49.919,8,273,"[10, 4, 2, 3, 5, 6, 8]","[9, 7, 1]",53.303,2,187,"[9, 4, 3]","[8, 2, 1, 6, 7, 10, 5]",English,better,y,33,f,some-college
P013,true,405.096,0,219,"[9, 2, 4, 1]","[10, 8, 7, 3, 6, 5]",2 1 4 2 6 2 10 1 5 1 3 2 8 2 7 1 9 2 1 1,73,71.52,3,243,"[3, 6, 1, 2, 9]","[10, 8, 7, 5, 4]",208,0.3605769230769231,59.858,5,256,"[3, 1, 2, 4, 8]","[9, 7, 5, 6, 10]",59.662,9,193,"[7, 8, 10, 4, 1]","[5, 6, 9, 2, 3]",53.188,1,264,"[10, 4, 3, 5, 2, 6]","[7, 1, 9, 8]",58.002,10,234,"[8, 3, 9, 1]","[10, 5, 2, 6, 4, 7]",75.369,2,196,"[2, 3, 7, 10]","[9, 4, 6, 8, 5, 1]",52.463,7,237,"[2, 10, 5, 7, 1]","[4, 6, 3, 8, 9]",89.376,8,217,"[3, 2, 8, 5, 1]","[10, 4, 6, 9, 7]",56.943,4,234,"[4, 3, 5, 6, 8, 2]","[9, 7, 1, 10]",49.711,6,259,"[4, 5, 3, 10, 1]","[2, 8, 7, 9, 6]",English,better,y,48,m,grad
P014,true,232.709,0,378,[],"[9, 4, 10, 7, 8, 5, 2, 6, 1, 3]",4 2 6 2 2 2 8 2 9 2 7 1 1 1 5 1 3 2 10 1,60,44.124,2,231,"[3, 4, 6]","[9, 10, 5, 7, 8, 2, 1]",208,0.4230769230769231,42.475,5,280,"[8, 2, 1, 10, 4]","[9, 7, 6, 5, 3]",43.424,7,193,"[4, 5, 6, 7, 1]","[9, 3, 8, 10, 2]",38.415,4,257,"[3, 5, 2]","[7, 9, 1, 4, 10, 8, 6]",40.476,9,240,"[5, 10, 8, 2, 3]","[4, 7, 9, 6, 1]",31.508,10,350,[],"[9, 10, 5, 7, 3, 6, 4, 2, 8, 1]",40.743,8,224,"[7, 1, 5, 10]","[4, 6, 2, 8, 9, 3]",42.143,3,208,"[4, 3, 2, 8, 10, 9, 1]","[6, 7, 5]",38.023,1,281,"[5, 4, 3]","[9, 7, 1, 8, 10, 2, 6]",34.841,6,325,[],"[10, 9, 6, 8, 7, 4, 5, 3, 2, 1]",English,better,y,29,m,grad
P015,true,336.963,0,206,"[2, 4, 5, 8]","[1, 10, 7, 3, 9, 6]",8 2 10 2 5 1 9 1 1 1 3 1 2 2 7 2 6 2 4 2,89,56.882,5,198,"[3, 4, 6, 9]","[1, 2, 5, 7, 8, 10]",213,0.4014084507042254,50.823,2,280,"[1, 2, 4, 10, 8]","[3, 5, 6, 7, 9]",52.596,4,203,"[1, 2, 5, 4, 3, 6]","[9, 10, 8, 7]",58.53,7,220,"[10, 2, 4, 3, 6]","[1, 9, 7, 5, 8]",60.446,8,234,"[5, 9, 1, 3]","[8, 10, 2, 7, 6, 4]",74.823,6,245,"[2, 3, 5, 7, 10]","[4, 6, 9, 8, 1]",61.984,3,237,"[6, 1, 3, 5, 8]","[2, 4, 10, 9, 7]",45.852,10,217,"[8, 3, 2, 7, 9]","[10, 4, 1, 5, 6]",54.656,1,195,"[10, 2, 3, 4, 5]","[9, 7, 1, 6, 8]",61.794,9,250,"[3, 4, 5, 9, 10]","[1, 2, 6, 7, 8]",English,better,y,44,f,high
P016,true,220.798,0,249,"[4, 5, 2]","[7, 3, 10, 1, 6, 9, 8]",7 2 9 2 2 1 3 1 4 1 5 1 1 2 6 2 8 1 10 2,100,42.968,2,198,"[4, 6, 3, 7]","[10, 5, 8, 9, 1, 2]",195,0.5,35.643,5,219,"[2, 1, 4]","[6, 7, 5, 9, 3, 8, 10]",42.641,9,228,"[4, 2, 1, 5, 6, 7]","[9, 3, 8, 10]",38.325,6,220,"[2, 3, 4, 5, 6]","[7, 9, 1, 8, 10]",37.468,4,224,"[6, 3, 1, 2]","[8, 5, 10, 9, 7, 4]",38.102,3,227,"[7, 10, 2]","[4, 8, 9, 6, 1, 3, 5]",39.824,10,244,"[7, 10, 3]","[6, 4, 2, 9, 8, 5, 1]",40.778,8,208,"[10, 3, 2, 4, 8, 5, 1]","[7, 6, 9]",40.917,7,195,"[2, 3, 4, 5, 8]","[7, 9, 1, 6, 10]",44.927,1,187,"[5, 3, 4]","[6, 7, 2, 8, 1, 9, 10]",,better,y,38,f,college
P017,true,196.444,0,206,"[2, 4, 5, 6]","[3, 1, 7, 10, 8, 9]",9 2 7 2 1 2 2 1 3 1 10 1 5 1 8 2 6 2 4 1,100,52.45,7,198,"[3, 4, 6, 1]","[10, 8, 9, 7, 5, 2]",195,0.5,41.0,3,224,"[4, 1, 2, 8]","[9, 7, 5, 6, 3, 10]",35.078,10,228,"[6, 5, 8, 7, 1, 2]","[9, 3, 10, 4]",45.702,5,220,"[2, 3, 4, 8, 10]","[1, 7, 9, 6, 5]",45.503,6,240,"[10, 8, 5, 1, 2]","[6, 9, 7, 4, 3]",37.756,4,196,"[10, 3, 5, 2]","[4, 8, 9, 6, 1, 7]",32.101,2,232,"[4, 5, 3, 1]","[2, 6, 10, 9, 7, 8]",34.314,8,208,"[2, 4, 3, 8, 10, 7, 9]","[5, 1, 6]",43.368,9,195,"[2, 3, 10, 5, 4]","[9, 7, 1, 8, 6]",40.502,1,187,"[5, 9, 10]","[7, 8, 6, 1, 2, 3, 4]",,better,y,42,f,some-college
P018,true,479.997,0,206,"[8, 2, 4, 5]","[7, 9, 3, 1, 6, 10]",2 1 3 1 4 1 5 1 7 2 6 2 9 2 10 2 8 2 1 2 10 1,89,40.575,5,198,"[3, 4, 6, 1]","[9, 10, 8, 7, 5, 2]",201,0.4054726368159204,44.621,6,200,"[8, 2, 1, 3]","[10, 4, 7, 6, 9, 5]",43.168,10,228,"[8, 7, 10, 4, 5, 1]","[3, 9, 2, 6]",66.717,2,220,"[2, 3, 4, 5, 10]","[7, 6, 9, 8, 1]",45.522,8,240,"[8, 10, 4, 6, 5]","[7, 9, 3, 1, 2]",56.932,9,255,"[3, 2, 1, 7, 4]","[9, 6, 8, 10, 5]",56.567,4,237,"[8, 4, 1, 3, 5]","[9, 10, 7, 6, 2]",41.151,1,285,"[8, 3, 2, 4, 10]","[7, 5, 6, 9, 1]",55.425,7,195,"[3, 8, 2, 5, 4]","[9, 1, 7, 10, 6]",47.317,3,200,"[9, 10, 3, 4]","[8, 7, 2, 1, 6, 5]",English,better,y,25,m,college
P019,true,182.362,0,206,"[2, 4, 5, 8]","[7, 1, 3, 10, 6, 9]",3 1 1 2 2 2 5 2 6 1 4 1 7 2 8 2 9 1 10 2,100,48.46,8,198,"[3, 6, 4, 9]","[1, 2, 5, 7, 8, 10]",198,0.5,45.606,6,200,"[1, 4, 8, 9]","[5, 6, 7, 2, 10, 3]",48.926,3,250,"[4, 6, 1, 5]","[3, 9, 2, 10, 8, 7]",53.876,10,201,"[2, 3, 4, 6]","[7, 1, 9, 8, 5, 10]",62.718,9,234,"[5, 8, 10, 2, 6, 7]","[4, 1, 3, 9]",72.671,7,196,"[2, 3, 5, 7]","[4, 1, 6, 8, 9, 10]",57.998,2,208,"[6, 4, 1, 5, 7, 2]","[10, 3, 9, 8]",52.945,5,208,"[2, 3, 4, 10, 8, 1, 7]","[5, 6, 9]",61.53,1,234,"[2, 3, 4, 5, 8, 10]","[1, 7, 9, 6]",37.254,4,187,"[4, 3, 5]","[6, 7, 8, 1, 2, 9, 10]",English,better,y,35,f,college
P020,true,149.008,0,206,"[2, 4, 5, 9]","[1, 3, 7, 10, 8, 6]",3 1 10 2 4 1 5 2 6 1 7 2 9 1 2 1 1 2 8 2,89,53.771,6,222,"[3, 4, 6, 9, 2]","[10, 5, 7, 1, 8]",198,0.3787878787878788,156.488,9,224,"[1, 2, 4, 10]","[3, 9, 5, 7, 6, 8]",28.236,2,193,"[2, 4, 5, 1, 10]","[9, 6, 7, 8, 3]",88.098,1,201,"[5, 3, 2, 10]","[9, 7, 4, 1, 6, 8]",89.394,3,240,"[8, 10, 5, 2, 1]","[3, 4, 6, 9, 7]",32.939,7,196,"[2, 3, 5, 7]","[1, 4, 8, 9, 6, 10]",104.538,10,224,"[5, 10, 9, 3]","[2, 1, 8, 6, 4, 7]",34.363,8,213,"[2, 4, 5, 1, 9]","[10, 3, 6, 7, 8]",234.233,5,234,"[5, 2, 4, 3, 10, 8]","[1, 9, 7, 6]",79.618,4,187,"[9, 4, 3]","[8, 1, 6, 7, 2, 5, 10]",Spanish Catalan,average,y,26,m,grad
P021,true,175.518,0,206,"[2, 4, 5, 6]","[10, 3, 7, 1, 9, 8]",5 2 9 2 10 2 7 2 8 2 3 1 4 1 6 1 1 1 6 2 2 1,75,60.268,7,209,"[3, 4, 1, 2]","[5, 9, 10, 7, 8, 6]",198,0.4444444444444444,48.63,1,219,"[4, 1, 2]","[9, 5, 6, 7, 3, 8, 10]",58.881,2,193,"[1, 2, 4, 5, 8]","[9, 3, 6, 7, 10]",106.076,9,201,"[2, 3, 4, 6]","[1, 9, 7, 5, 8, 10]",52.687,5,234,"[8, 10, 5, 6, 7, 9]","[1, 2, 3, 4]",59.842,10,196,"[2, 3, 5, 7]","[8, 1, 6, 9, 4, 10]",47.023,6,208,"[2, 4, 6, 5, 9, 10]","[7, 8, 1, 3]",51.495,8,194,"[2, 3, 8, 10, 6, 9]","[7, 5, 1, 4]",50.085,3,195,"[2, 3, 4, 5, 6]","[9, 7, 1, 8, 10]",51.81,4,187,"[3, 4, 5]","[2, 1, 7, 6, 8, 9, 10]",French,better,y,26,m,grad
P022,true,146.107,0,230,"[8, 9, 2, 4, 5]","[3, 10, 7, 1, 6]",6 2 9 2 8 2 7 2 2 2 4 1 3 1 1 2 10 1 5 1,86,40.102,6,198,"[3, 4, 6, 1]","[9, 10, 8, 5, 2, 7]",187,0.4304812834224599,37.14,8,200,"[10, 7, 4, 1]","[9, 8, 3, 2, 5, 6]",34.189,2,228,"[8, 1, 4, 2, 5, 7]","[3, 9, 10, 6]",33.035,4,201,"[2, 10, 3, 5]","[7, 9, 4, 1, 8, 6]",34.395,10,213,"[2, 4, 5, 6, 8]","[9, 10, 3, 1, 7]",41.601,3,196,"[7, 2, 3, 5]","[9, 8, 10, 4, 6, 1]",33.152,7,272,"[2, 8, 6, 3]","[4, 7, 9, 10, 5, 1]",33.261,1,194,"[8, 9, 1, 3, 4, 2]","[7, 5, 6, 10]",38.654,9,195,"[10, 2, 8, 3, 5]","[9, 1, 7, 4, 6]",32.469,5,200,"[4, 3, 10, 5]","[6, 9, 8, 7, 2, 1]",,better,y,27,m,high
P023,true,203.298,0,206,"[8, 2, 4, 5]","[3, 7, 10, 9, 1, 6]",8 2 10 1 6 2 7 2 9 2 4 1 2 1 1 1 3 2 5 1 1 2 8 1,80,39.326,4,198,"[3, 4, 6, 9]","[1, 2, 5, 7, 8, 10]",213,0.3732394366197183,42.383,2,224,"[4, 10, 2, 8]","[5, 6, 3, 1, 9, 7]",51.569,7,193,"[5, 1, 4, 7, 6]","[2, 8, 10, 9, 3]",67.988,1,221,"[2, 5, 6, 9, 10]","[3, 4, 1, 7, 8]",61.569,5,240,"[10, 4, 2, 5, 8]","[6, 7, 9, 3, 1]",52.763,8,196,"[2, 3, 5, 7]","[8, 6, 9, 4, 1, 10]",52.306,6,220,"[8, 9, 6, 1, 4]","[5, 7, 3, 2, 10]",86.966,3,206,"[4, 9, 6, 1]","[10, 2, 7, 5, 8, 3]",71.427,10,195,"[8, 4, 2, 3, 6]","[7, 9, 1, 5, 10]",70.407,9,200,"[3, 4, 5, 9]","[6, 7, 8, 2, 1, 10]",English,better,y,32,f,some-college
P024,true,188.124,0,206,"[2, 4, 5, 6]","[3, 7, 10, 1, 9, 8]",4 1 3 1 2 1 6 2 7 2 9 2 5 1 1 1 8 2 10 2,91,90.355,1,198,"[4, 3, 6, 1]","[7, 5, 8, 9, 2, 10]",194,0.38144329896907214,68.626,5,200,"[4, 1, 2, 5]","[8, 10, 7, 9, 6, 3]",57.983,8,193,"[1, 2, 4, 5, 7]","[3, 9, 6, 10, 8]",82.778,7,201,"[5, 6, 3, 4]","[9, 7, 1, 10, 8, 2]",59.696,9,213,"[4, 1, 2, 5, 8]","[6, 7, 9, 3, 10]",72.446,3,196,"[5, 2, 3, 7]","[6, 9, 8, 4, 1, 10]",79.56,2,220,"[4, 8, 10, 1, 2]","[6, 7, 9, 3, 5]",53.008,4,217,"[4, 3, 2, 5, 1]","[6, 7, 9, 8, 10]",84.294,6,234,"[5, 6, 3, 4, 10, 8]","[7, 9, 1, 2]",50.01,10,200,"[10, 3, 4, 9]","[6, 8, 7, 2, 1, 5]",English,better,y,74,f,high
